################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
       170        170   1.00202538E+02   2.53617774E-03   7.53180361E-20   2.79056459E-02   1.04304179E-05   9.58734356E-01
       171        171   1.00201636E+02   2.60441234E-03   7.53858228E-20   8.29524105E-03   1.00175682E-05   9.98246261E-01
       172        172   1.00200859E+02   2.64268372E-03   7.44055650E-20   6.38772471E-03   9.62105963E-06   1.03938655E+00
       173        173   1.00199921E+02   2.73048886E-03   7.52834407E-20   9.58623789E-03   9.24024539E-06   1.03938655E+00
       174        174   1.00199053E+02   2.80819015E-03   7.63906888E-20   9.03660991E-03   8.87450427E-06   1.03938655E+00
       175        175   1.00198060E+02   2.89263604E-03   7.77749669E-20   9.42676092E-03   8.52323968E-06   1.03938655E+00
       176        176   1.00197321E+02   2.95697736E-03   7.86683414E-20   8.21989368E-03   8.18587860E-06   1.03938655E+00
       177        177   1.00196653E+02   3.01095634E-03   8.03523011E-20   7.53245176E-03   7.86187071E-06   1.03938655E+00
       178        178   1.00196021E+02   3.06269307E-03   8.17094368E-20   7.37504248E-03   7.55068749E-06   1.03938655E+00
       179        179   1.00188007E+02   3.08622023E-03   9.26333521E-20   2.55520743E-02   7.25182131E-06   1.03938655E+00
       180        180   1.00187066E+02   3.16745132E-03   9.32212179E-20   9.30993197E-03   6.96478465E-06   1.03938655E+00
       181        181   1.00181369E+02   3.20782478E-03   1.00849888E-19   2.17986984E-02   6.68910928E-06   1.03938655E+00
       182        182   1.00180389E+02   3.26050872E-03   1.01234059E-19   7.78162511E-03   6.42434550E-06   1.03938655E+00
