################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         2         65        688  -5.53456146E-01  -3.34157485E-01  -4.68477542E-01   3.16730966E-02
         2         66        688  -3.34666060E-01  -2.58646237E-01  -2.95190988E-01   1.28269605E-02
         2         67        688   6.17131360E-02   2.13141181E-01   1.28963667E-01   2.49992804E-02
         2         68        688  -5.86728937E-01  -3.07619076E-01  -4.83587708E-01   3.60802896E-02
         2         69        688  -7.35614057E-01  -6.09878981E-01  -6.70065032E-01   2.11571493E-02
         2         70        688   5.07261699E-01   8.37618509E-01   6.99418503E-01   4.71168083E-02
         2         71        688  -1.80852668E-01  -6.43750552E-02  -1.12529526E-01   1.75665520E-02
         2         72        688  -7.65019470E-02  -2.15298974E-02  -4.44549636E-02   9.38539527E-03
         2         73        688   2.02519640E-01   2.96301426E-01   2.58918999E-01   1.31396911E-02
         2         74        688  -1.05174403E+00  -8.54176037E-01  -9.65272746E-01   2.85881121E-02
         2         75        688  -5.62549901E-01  -4.20661684E-01  -5.07377830E-01   2.22221564E-02
         2         76        688  -6.20853681E-01  -4.05867139E-01  -5.59814249E-01   2.84567165E-02
         2         77        688   2.11957556E-01   4.55260928E-01   3.42109612E-01   3.72780635E-02
         2         78        688   9.46533734E-02   2.57168503E-01   1.77748955E-01   2.55496541E-02
         2         79        688   3.76067697E-02   1.26286241E-01   8.72826956E-02   1.32782286E-02
         2         80        688  -3.56358584E-01  -7.96827295E-02  -2.53122703E-01   3.99280390E-02
         2         81        688  -1.31292502E-02   2.30704137E-02   6.07909812E-03   5.96538865E-03
